chunk_id,origin_inconsistencies,dest_inconsistencies
320,5058,3264
321,5002,3210
322,5309,3488
323,4591,2871
324,4653,3104
325,4607,2867
326,4823,2958
327,5027,2940
328,4342,2691
329,4723,2844
330,4759,3063
331,4521,2909
332,4737,3107
333,5140,3414
334,4912,3231
335,5091,3347
336,4916,3053
337,4831,3079
338,4546,2808
339,4479,2797
340,4825,3099
341,5046,3167
342,4680,3209
343,4488,2799
344,4501,2883
345,4506,2694
346,4600,2998
347,4476,2776
348,5065,3459
349,4788,3242
350,4948,3214
351,4855,2918
352,4670,2893
353,4721,3094
354,4706,3229
355,4812,3045
356,5158,3443
357,4480,2782
358,4171,2803
359,4754,3304
360,4495,3159
361,4331,2652
362,4715,3090
363,4657,2948
364,4596,2855
365,4392,2789
366,4591,2797
367,4273,2523
368,4792,3222
369,4277,2784
370,4113,2706
371,4357,2850
372,4680,3206
373,4446,2667
374,4093,2434
375,4252,2486
376,3946,2506
377,4217,2361
378,4351,2727
379,4652,2798
380,4725,3106
381,5030,3251
382,4604,3032
383,4864,3170
384,4919,3305
385,4571,3067
386,4501,2963
387,5139,3232
388,4936,3151
389,4862,3183
390,4933,3074
391,4901,3075
392,4663,3029
393,4969,3087
394,4722,2792
395,4611,3179
396,4730,2927
397,4772,3001
398,5300,3418
399,4373,2680
400,4441,2624
401,5027,3022
402,4829,3307
403,4963,3105
404,4885,3175
405,4552,2942
406,4690,2961
407,4990,3330
408,4996,3264
409,4600,2875
410,4634,2930
411,5039,3289
412,4690,3032
413,4805,2938
414,4940,2809
415,4975,3150
416,4859,2937
417,4632,2624
418,4781,3016
419,4933,3071
420,4772,2861
421,4795,3085
422,4343,2724
423,4913,3203
424,4599,3094
425,4881,3359
426,4972,3459
427,5165,3610
428,4680,3012
429,5102,3161
430,4409,2669
431,4615,3162
432,5118,3317
433,4961,3137
434,5057,3501
435,4874,3254
436,4918,3035
437,4566,2820
438,4713,3011
439,4651,2987
440,4607,2865
441,4407,2772
442,4685,2572
443,4338,2554
444,3984,2368
445,4396,2814
446,5061,3099
447,4638,3119
448,4770,3003
449,4915,3325
450,5038,3251
451,5156,3287
452,5075,3128
453,5237,3170
454,4613,2958
455,4985,3179
456,4807,3005
457,4987,3130
458,5261,3120
459,5123,3360
460,4877,2826
461,4803,2936
462,5158,3388
463,4869,2867
464,4842,2886
465,5022,3313
466,4920,2997
467,4687,2874
468,4900,3121
469,4685,2848
470,5031,2892
471,4751,2632
472,4776,2834
473,4788,3063
474,4967,3052
475,4927,3046
476,4870,3104
477,5137,3359
478,5068,3210
479,4682,2620
480,4575,2860
481,4190,2455
482,4427,2838
483,5137,3434
484,4778,2962
485,5036,3212
486,4804,2735
487,4469,2592
488,4543,2703
489,4810,2726
490,5397,3383
491,4739,2839
492,4757,3014
493,4871,2860
494,5210,3436
495,4964,3069
496,5096,3105
497,4955,3222
498,4491,2842
499,5278,3281
500,4815,2802
501,4912,3252
502,4857,2877
503,4758,2994
504,4796,2980
505,5230,3429
506,4427,2798
507,4709,3065
508,4934,2939
509,5087,3024
510,4547,2667
511,4579,2906
512,4813,2986
513,4950,3201
514,4495,2803
515,4811,2950
516,4699,3105
517,4902,3185
518,4817,2969
519,4234,2569
520,4775,2976
521,4998,3118
522,4506,2969
523,4614,2864
524,4243,2449
525,4254,2610
526,4574,2984
527,4802,3298
528,5080,3239
529,4959,3016
530,4539,2761
531,4559,2923
532,4949,3119
533,4707,3082
534,4703,2808
535,4777,3002
536,4991,3337
537,4488,2644
538,4602,2697
539,4780,2816
540,4485,2755
541,4625,3140
542,4427,2786
543,5005,3142
544,4586,3041
545,4635,3015
546,4450,3054
547,4538,2951
548,4686,3046
549,4623,3020
550,4297,2601
551,4640,2817
552,4693,2849
553,4730,2828
554,4800,2952
555,5236,3240
556,5118,3144
557,5084,2998
558,4906,2782
559,4619,3149
560,5119,2933
561,4568,2593
562,4769,2902
563,5020,3042
564,4971,2763
565,4810,2847
566,5186,3334
567,5211,3178
568,5329,3356
569,5353,3406
570,4614,3100
571,5128,3140
572,4599,2771
573,4715,3003
574,5229,3320
575,4550,2740
576,5139,3107
577,4940,3003
578,5150,3113
579,4642,2565
580,4586,2903
581,5045,2967
582,4719,2989
583,4826,3069
584,4567,2857
585,4358,2537
586,4773,3037
587,5090,3150
588,4761,2818
589,5049,3209
590,5105,3006
591,4944,2986
592,4786,2642
593,4718,2951
594,4861,2921
595,4530,2894
596,4832,3008
597,5527,3525
598,4764,3004
599,4824,2914
600,4578,2900
601,4773,2671
602,5243,3291
603,4545,2853
604,4407,2734
605,4210,2686
606,5048,3145
607,4568,2619
608,4412,2640
609,4522,2894
610,4801,2874
611,5023,3243
612,4976,2975
613,5505,3431
614,4876,2869
615,5114,3039
616,4755,2673
617,5106,3112
618,5038,2881
619,4954,2934
620,4727,2959
621,4692,2649
622,4467,2714
623,4337,2749
624,5147,2684
625,5909,2878
626,4973,2395
627,5259,3042
628,4790,3054
629,5143,2870
630,5066,2856
631,5409,2995
632,4855,2807
633,4555,2852
634,4654,2813
635,4991,2909
636,4937,2999
637,5026,2963
638,5077,2962
639,5398,3111
640,5048,2957
641,4053,2342
